name,main_category,sub_category,url,brand,price,sku_ids,product_id
Hantelscheibe Gusseisen 28 mm 5 kg,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/hantelscheibe-gusseisen-28-mm-5-kg/_/R-p-348960?mc=8816725,CORENGTH,"12,99 €",4934746,8816725
Rudergerät D PM5 Concept 2,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/rudergerat-d-pm5-concept-2/_/R-p-X8361558?mc=8361558,CONCEPT 2,"1.164,99 €",2052983,8361558
Hantelset 20 kg,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/hantelset-20-kg/_/R-p-7449?mc=8018574&c=schwarz,CORENGTH,"59,99 €",411314,8018574
T-R01 Laufband,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/mp/horizon-fitness/t-r01-laufband/_/R-p-9af7d976-ff87-414f-a486-7aaccb05ae91?mc=9af7d976-ff87-414f-a486-7aaccb05ae91_c2.c1.c3&c=grau_schwarz,HORIZON FITNESS,299 €,ef8ab573-810a-41bb-beaa-972c6e162043,9
Yogablock Kork,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/yogablock-kork/_/R-p-323475?mc=8577670&c=braun,KIMJALY,"10,99 €",2976432,8577670
Hantelbank 900 verstärkt Schrägbank Negativ-Bank,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/hantelbank-900-verstarkt-schragbank-negativ-bank/_/R-p-342936?mc=8766093,CORENGTH,"149,99 €",4660463,8766093
Kraftstation geführte Last kompakt - Home Gym 900,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/kraftstation-gefuhrte-last-kompakt-home-gym-900/_/R-p-178181?mc=8484134,CORENGTH,"399,99 €",2526815,8484134
Heimtrainer Zipro One S magnetisch mit Computer Ergometer 8 Widerstandsstufen,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/mp/zipro/heimtrainer-zipro-one-s-magnetisch-mit-computer-ergometer-8-widerstandsstufen/_/R-p-48d1f504-528e-4914-872f-3fc5ee9dea8c?mc=48d1f504-528e-4914-872f-3fc5ee9dea8c_c1.c5&c=schwarz_blau,ZIPRO,139 €,87fbc97d-f213-4ed0-80e1-5e37be37f389,48
"Fitness Band, Trainingsband Crosstraining 15 kg",fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/fitness-band-trainingsband-crosstraining-15-kg/_/R-p-187031?mc=8484819&c=blau,CORENGTH,"7,99 €",2531585,8484819
Rudergerät Essential R120,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/rudergerat-essential-r120/_/R-p-301442?mc=8501452,DOMYOS,"249,99 €",2491923,8501452
"Fitness Band, Trainingsband Cross Training 25 kg",fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/fitness-band-trainingsband-cross-training-25-kg/_/R-p-187032?mc=8484820&c=gelb,CORENGTH,"11,99 €",2531586,8484820
Hantelscheibe Gusseisen 28 mm 2 kg,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/hantelscheibe-gusseisen-28-mm-2-kg/_/R-p-348894?mc=8816723,CORENGTH,"4,99 €",4934724,8816723
Rudergerät 500B Self Powered mit App-Steuerung,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/rudergerat-500b-self-powered-mit-app-steuerung/_/R-p-335495?mc=8666894,DOMYOS,"449,99 €",4367777,8666894
Hantelset 2 × 2 kg - dunkelblau,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/hantelset-2-×-2-kg-dunkelblau/_/R-p-130388?mc=8336573&c=blau,DOMYOS,"14,99 €",712792,8336573
Laufband Connected kompakt zusammenklappbar 10 % motorisierte Neigung - RUN500,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/laufband-connected-kompakt-zusammenklappbar-10-motorisierte-neigung-run500/_/R-p-306855?mc=8542707,DOMYOS,"699,99 €",2711064,8542707
Hantelset 2 × 1 kg - grün,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/hantelset-2-×-1-kg-grun/_/R-p-130386?mc=8336571&c=grün,DOMYOS,"9,99 €",712785,8336571
Klimmzugstange Tür verriegelbar 70 cm - BT 150,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/klimmzugstange-tur-verriegelbar-70-cm-bt-150/_/R-p-325833?mc=8588490,CORENGTH,"25,99 €",4044804,8588490
Hantelset 2 × 3 kg - grau,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/hantelset-2-×-3-kg-grau/_/R-p-130442?mc=8336581&c=grau,DOMYOS,"19,99 €",712811,8336581
Crosstraining-Ringe aus Holz,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/crosstraining-ringe-aus-holz/_/R-p-341591?mc=8751180&c=schwarz,CORENGTH,"29,99 €",4581752,8751180
"Fitness Band, Trainingsband Crosstraining 35 kg",fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/fitness-band-trainingsband-crosstraining-35-kg/_/R-p-187033?mc=8484821&c=orange,CORENGTH,"14,99 €",2531587,8484821
Liegestützgriffe - Push Up Bars 500 blau,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/liegestutzgriffe-push-up-bars-500-blau/_/R-p-311441?mc=8556754&c=blau,CORENGTH,"6,99 €",2925689,8556754
Boxing-Set - Adidas V2 (Handschuhe + Bandagen + Zahnschutz),fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/boxing-set-adidas-v2-handschuhe-bandagen-zahnschutz/_/R-p-X8825899?mc=8825899&c=schwarz,ADIDAS,"39,99 €",4978720;4978721;4978722;4978723,8825899
Bodenschutzmatte 58 × 58 cm modulierbar,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/bodenschutzmatte-58-×-58-cm-modulierbar/_/R-p-334705?mc=8651539,DOMYOS,"14,99 €",4345075,8651539
Standboxsack aufblasbar Erwachsene,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/standboxsack-aufblasbar-erwachsene/_/R-p-308689?mc=8549542&c=schwarz_rot,OUTSHOCK,"69,99 €",2765680,8549542
Hantelbank klappbar neigungsverstellbar - 500,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/hantelbank-klappbar-neigungsverstellbar-500/_/R-p-330475?mc=8616804,CORENGTH,"99,99 €",4224992,8616804
Fitnessmatte - Yogamatte - Gymnastikmatte - 180 cm x 60 cm x 9 mm - Grau,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/mp/matchu-sports/fitnessmatte-yogamatte-gymnastikmatte-180-cm-x-60-cm-x-9-mm-grau/_/R-p-4272a3d0-911a-4ce7-a2d4-a541609ede76?mc=4272a3d0-911a-4ce7-a2d4-a541609ede76_c251&c=grau,MATCHU SPORTS,"17,95 €",ec9c0f41-b75a-4042-ad0b-3362a6113a51,4272
Boxhandschuhe 100 rot,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/boxhandschuhe-100-rot/_/R-p-332948?mc=8651249&c=rot_schwarz,OUTSHOCK,"17,99 €",4343618;4343615;4343616;4343617,8651249
Hantelset 2 × 5 kg - schwarz,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/hantelset-2-×-5-kg-schwarz/_/R-p-130443?mc=8336580&c=schwarz_grau,DOMYOS,"29,99 €",712813,8336580
Yogamatte 172 cm × 58 cm × 4 mm - Essential dunkelgrün,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/yogamatte-172-cm-×-58-cm-×-4-mm-essential-dunkelgrun/_/R-p-141487?mc=8506526&c=grün,KIMJALY,"9,99 €",2456757,8506526
Springseil 100,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/springseil-100/_/R-p-309765?mc=8560956&c=schwarz,DOMYOS,"5,99 €",2901492,8560956
Gewichtsweste 6–10 kg Krafttraining anpassbar,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/gewichtsweste-6-10-kg-krafttraining-anpassbar/_/R-p-344654?mc=8786091,CORENGTH,"49,99 €",4771991,8786091
Hantelverschlüsse Smart Stop Disc 15 kg 28 mm,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/hantelverschlusse-smart-stop-disc-15-kg-28-mm/_/R-p-312648?mc=8574652,CORENGTH,"4,99 €",2923491,8574652
Hantelscheibe Gusseisen 28 mm 10 kg,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/hantelscheibe-gusseisen-28-mm-10-kg/_/R-p-348895?mc=8816726,CORENGTH,"24,99 €",4934747,8816726
Crosstrainer - EL 540 schwarz,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/crosstrainer-el-540/_/R-p-329465?mc=8607943&c=schwarz,DOMYOS,"499,99 €",4169366;4834090,8607943
Pilatesball Durchmesser 240 mm - blau,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/pilatesball-in-verschiedenen-großen/_/R-p-305188?mc=8736370&c=blau,DOMYOS,"4,99 €",4527518,8736370
Balance Pad Small 39 cm × 24 cm × 6 cm,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/balance-pad-small-39-cm-×-24-cm-×-6-cm/_/R-p-305008?mc=8526564&c=blau,DOMYOS,"17,99 €",2650728,8526564
Bodenschutzmatte für Fitnessgeräte - Grösse M - 70 ×110 cm,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/bodenschutzmatte-fur-fitnessgerate-grosse-l-100-×-200-cm/_/R-p-334184?mc=8861293,DOMYOS,"24,99 €",5102838;4329474,8861293
Pilatesmatte Komfort 170 cm × 58 cm × 15 mm - 500 bordeauxrot,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/pilatesmatte-komfort-170-cm-×-58-cm-×-15-mm-500-bordeauxrot/_/R-p-351006?mc=8851735&c=violett,DOMYOS,"29,99 €",5057388;5057389,8851735
Hantel 10 kg Crosstraining Krafttraining - Hex Dumbbell schwarz,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/hantel-10-kg-crosstraining-krafttraining-hex-dumbbell-schwarz/_/R-p-328364?mc=8603283&c=schwarz,CORENGTH,"39,99 €",4132392,8603283
Hantelset 2 x 05 Kg - Hexagon Kurzhantel Set mit Neoprenbeschichtung rot,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/mp/neolymp/hantelset-2-x-04-kg-hexagon-kurzhantel-set-mit-neoprenbeschichtung-schwarz/_/R-p-22ce4817-ad7e-4753-9ee3-72cf2b0f7f5b?mc=22ce4817-ad7e-4753-9ee3-72cf2b0f7f5b_c14&c=rot,NEOLYMP,"14,99 €",d39991c9-7875-4315-a6bb-29b821bd40a0;e8d615a6-2c7e-4375-abb6-45b64c654b26;3fe0be59-7665-41b8-a94b-23ab9695c7b9;a119601a-b801-41dd-ae89-c6cbe30a5099;220bdc2e-0635-4923-a529-7fb9d6c51743;606d8a1c-799f-498d-8483-9423e9f28bb3;79fc8e55-df57-4f8d-8dc1-ce8029d69d2d,22
